epoch_ms,iso,cpu_seconds_total,rss_bytes,rss_mb,eventloop_lag_seconds
1782487725377,2026-06-26T15:28:45.377Z,5.422000000000002,77299712,73.72,0.0029787
1782487726301,2026-06-26T15:28:46.301Z,5.422000000000002,77299712,73.72,0.0019891
1782487727304,2026-06-26T15:28:47.304Z,5.781000000000002,79626240,75.94,0.0027607
1782487728311,2026-06-26T15:28:48.311Z,5.891000000000003,65126400,62.11,0.0018068
1782487729311,2026-06-26T15:28:49.311Z,6.109000000000003,65613824,62.57,0.0049878
1782487730316,2026-06-26T15:28:50.316Z,6.249000000000002,68665344,65.48,0.0031269
1782487731325,2026-06-26T15:28:51.325Z,6.468000000000003,69402624,66.19,0.0025728
1782487732333,2026-06-26T15:28:52.333Z,6.640000000000002,71794688,68.47,0.0029677
1782487733341,2026-06-26T15:28:53.341Z,6.781000000000002,73809920,70.39,0.0028272
1782487734345,2026-06-26T15:28:54.345Z,6.906000000000002,74244096,70.80,0.0029656
1782487735352,2026-06-26T15:28:55.352Z,6.953000000000002,74100736,70.67,0.002918
1782487736355,2026-06-26T15:28:56.355Z,7.140000000000002,75116544,71.64,0.0029365
1782487737362,2026-06-26T15:28:57.362Z,7.328000000000002,78127104,74.51,0.002478
1782487738370,2026-06-26T15:28:58.370Z,7.453000000000002,80322560,76.60,0.001577
1782487739375,2026-06-26T15:28:59.375Z,7.547000000000002,81670144,77.89,0.0014495
1782487740378,2026-06-26T15:29:00.378Z,7.656000000000002,81506304,77.73,0.0017429
1782487741386,2026-06-26T15:29:01.386Z,7.766000000000003,81641472,77.86,0.0017943
1782487742394,2026-06-26T15:29:02.394Z,7.874000000000002,82751488,78.92,0.0025296
1782487743395,2026-06-26T15:29:03.395Z,7.953000000000002,82059264,78.26,0.0028786
1782487744409,2026-06-26T15:29:04.409Z,8.172000000000002,82567168,78.74,0.0028709
1782487745413,2026-06-26T15:29:05.413Z,8.437000000000003,84299776,80.39,0.0028794
1782487746422,2026-06-26T15:29:06.422Z,8.594000000000003,83980288,80.09,0.0029545
1782487747427,2026-06-26T15:29:07.427Z,8.734000000000004,86061056,82.07,0.002595
1782487748441,2026-06-26T15:29:08.441Z,8.844000000000003,90857472,86.65,0.0029537
1782487749452,2026-06-26T15:29:09.452Z,8.953000000000003,92844032,88.54,0.0024925
1782487750462,2026-06-26T15:29:10.462Z,9.063000000000002,95256576,90.84,0.0023923
1782487751473,2026-06-26T15:29:11.473Z,9.218000000000002,98844672,94.27,0.0016693
1782487752473,2026-06-26T15:29:12.473Z,9.327000000000002,100429824,95.78,0.0017444
1782487753485,2026-06-26T15:29:13.485Z,9.421000000000001,100036608,95.40,0.002871
1782487754495,2026-06-26T15:29:14.495Z,9.515,99844096,95.22,0.003066
1782487755500,2026-06-26T15:29:15.500Z,9.609,100171776,95.53,0.0016007
1782487756504,2026-06-26T15:29:16.504Z,9.671,100474880,95.82,0.0029624
1782487757515,2026-06-26T15:29:17.515Z,9.843,100605952,95.95,0.0027787
1782487758535,2026-06-26T15:29:18.535Z,9.906,101961728,97.24,0.0028193
1782487759532,2026-06-26T15:29:19.532Z,10.015,102027264,97.30,0.0033279
1782487760534,2026-06-26T15:29:20.534Z,10.093,102170624,97.44,0.0019012
1782487761534,2026-06-26T15:29:21.534Z,10.297,103075840,98.30,0.0022088
1782487762536,2026-06-26T15:29:22.536Z,10.375,104017920,99.20,0.0016054
1782487763553,2026-06-26T15:29:23.553Z,10.515,103198720,98.42,0.0031913
1782487764564,2026-06-26T15:29:24.564Z,10.609,103342080,98.55,0.0030085
1782487765568,2026-06-26T15:29:25.568Z,10.734,103378944,98.59,0.0016652
1782487766570,2026-06-26T15:29:26.570Z,10.797,103407616,98.62,0.0029022
1782487767584,2026-06-26T15:29:27.584Z,10.922,103018496,98.25,0.0016193
1782487768590,2026-06-26T15:29:28.590Z,11.062000000000001,102866944,98.10,0.0016035
1782487769601,2026-06-26T15:29:29.601Z,11.218000000000002,63840256,60.88,0.0017737
1782487770600,2026-06-26T15:29:30.600Z,11.469000000000001,64237568,61.26,0.0027233
1782487771600,2026-06-26T15:29:31.600Z,11.625000000000002,66699264,63.61,0.003695
1782487772603,2026-06-26T15:29:32.603Z,11.703000000000001,67969024,64.82,0.0017267
1782487773608,2026-06-26T15:29:33.608Z,11.968000000000002,71962624,68.63,0.0027192
1782487774609,2026-06-26T15:29:34.609Z,12.125000000000002,72892416,69.52,0.0017447
1782487775615,2026-06-26T15:29:35.615Z,12.296000000000001,72626176,69.26,0.0020808
1782487776616,2026-06-26T15:29:36.616Z,12.421000000000001,72511488,69.15,0.0026388
1782487777620,2026-06-26T15:29:37.620Z,12.484000000000002,76271616,72.74,0.0018086
1782487778623,2026-06-26T15:29:38.623Z,12.625000000000002,78921728,75.27,0.0017935
1782487779630,2026-06-26T15:29:39.630Z,12.719000000000001,80809984,77.07,0.0031277
1782487780629,2026-06-26T15:29:40.629Z,12.828000000000001,80576512,76.84,0.0037939
1782487781635,2026-06-26T15:29:41.635Z,12.968000000000002,81141760,77.38,0.001718
1782487782640,2026-06-26T15:29:42.640Z,13.109000000000002,81870848,78.08,0.0029022
1782487783642,2026-06-26T15:29:43.642Z,13.297000000000002,83251200,79.39,0.0030124
1782487784648,2026-06-26T15:29:44.648Z,13.406000000000002,83484672,79.62,0.0030276
1782487785657,2026-06-26T15:29:45.657Z,13.624000000000002,83210240,79.36,0.001633
1782487786664,2026-06-26T15:29:46.664Z,13.734000000000002,82894848,79.05,0.0025956
1782487787680,2026-06-26T15:29:47.680Z,13.765000000000002,83083264,79.23,0.0029998
1782487788690,2026-06-26T15:29:48.690Z,13.797000000000002,81854464,78.06,0.0030303
1782487789697,2026-06-26T15:29:49.697Z,13.828000000000003,82092032,78.29,0.0029546
