epoch_ms,iso,cpu_seconds_total,rss_bytes,rss_mb,eventloop_lag_seconds
1782485024219,2026-06-26T14:43:44.219Z,6.281,196780032,187.66,0
1782485025129,2026-06-26T14:43:45.129Z,6.3759999999999994,61280256,58.44,0.0037832
1782485026130,2026-06-26T14:43:46.130Z,6.422,58097664,55.41,0.0035811
1782485027137,2026-06-26T14:43:47.137Z,8.157,160423936,152.99,0.0026831
1782485028151,2026-06-26T14:43:48.151Z,9.407,170401792,162.51,0.0021092
1782485029165,2026-06-26T14:43:49.165Z,10.469,181370880,172.97,0.0026588
1782485030162,2026-06-26T14:43:50.162Z,11.344,191848448,182.96,0.0020879
1782485031166,2026-06-26T14:43:51.166Z,11.344,191860736,182.97,0.0033766
1782485032179,2026-06-26T14:43:52.179Z,11.36,191860736,182.97,0.0029651
1782485033193,2026-06-26T14:43:53.193Z,11.36,191860736,182.97,0.0038363
1782485034196,2026-06-26T14:43:54.196Z,11.36,191889408,183.00,0.0042409
1782485035199,2026-06-26T14:43:55.199Z,11.36,191901696,183.01,0.0032841
1782485036211,2026-06-26T14:43:56.211Z,11.36,191991808,183.10,0.001928
1782485037220,2026-06-26T14:43:57.220Z,11.36,192008192,183.11,0.0036353
1782485038223,2026-06-26T14:43:58.223Z,11.376,193052672,184.11,0.0035391
1782485039236,2026-06-26T14:43:59.236Z,11.376,193052672,184.11,0.0030799
1782485040252,2026-06-26T14:44:00.252Z,11.391,193069056,184.13,0.0031635
1782485041260,2026-06-26T14:44:01.260Z,11.391,193073152,184.13,0.0031837
1782485042272,2026-06-26T14:44:02.272Z,11.438,191000576,182.15,0.002794
1782485043276,2026-06-26T14:44:03.276Z,11.438,191025152,182.18,0.0029526
