epoch_ms,iso,cpu_seconds_total,rss_bytes,rss_mb,eventloop_lag_seconds
1782488407385,2026-06-26T15:40:07.385Z,0.562,54439936,51.92,0
1782488408304,2026-06-26T15:40:08.304Z,0.562,54837248,52.30,0.0049865
1782488409310,2026-06-26T15:40:09.310Z,1.437,108281856,103.27,0.0044628
1782488410322,2026-06-26T15:40:10.322Z,1.516,105951232,101.04,0.0039459
1782488411336,2026-06-26T15:40:11.336Z,1.531,105951232,101.04,0.0033806
1782488412348,2026-06-26T15:40:12.348Z,1.531,105955328,101.05,0.0040093
1782488413356,2026-06-26T15:40:13.356Z,1.531,105566208,100.68,0.0032516
1782488414364,2026-06-26T15:40:14.364Z,1.531,105594880,100.70,0.0021557
1782488415370,2026-06-26T15:40:15.370Z,1.531,104431616,99.59,0.0025527
1782488416370,2026-06-26T15:40:16.370Z,1.547,104759296,99.91,0.0037311
1782488417369,2026-06-26T15:40:17.369Z,1.563,104468480,99.63,0.0030234
1782488418372,2026-06-26T15:40:18.372Z,1.5779999999999998,104505344,99.66,0.0023384
1782488419383,2026-06-26T15:40:19.383Z,1.5779999999999998,104525824,99.68,0.0037794
1782488420381,2026-06-26T15:40:20.381Z,1.6249999999999998,104992768,100.13,0.0052643
1782488421380,2026-06-26T15:40:21.380Z,1.6409999999999998,104873984,100.02,0.0038133
1782488422384,2026-06-26T15:40:22.384Z,1.6409999999999998,104960000,100.10,0.0019868
1782488423387,2026-06-26T15:40:23.387Z,1.6409999999999998,104960000,100.10,0.0023892
1782488424395,2026-06-26T15:40:24.395Z,1.6409999999999998,104960000,100.10,0.0035624
1782488425401,2026-06-26T15:40:25.401Z,1.6559999999999997,105046016,100.18,0.0040741
1782488426409,2026-06-26T15:40:26.409Z,1.8119999999999996,57315328,54.66,0.005023
