epoch_ms,iso,cpu_seconds_total,rss_bytes,rss_mb,eventloop_lag_seconds
1782479959709,2026-06-26T13:19:19.709Z,1.9229999999999996,79503360,75.82,0.0020378
1782479960643,2026-06-26T13:19:20.643Z,1.9699999999999995,79216640,75.55,0.0020782
1782479961655,2026-06-26T13:19:21.655Z,1.9859999999999995,79241216,75.57,0.0029114
1782479962667,2026-06-26T13:19:22.667Z,2.0169999999999995,79241216,75.57,0.002896
1782479963715,2026-06-26T13:19:23.715Z,2.5949999999999993,88027136,83.95,0.002922
1782479964729,2026-06-26T13:19:24.729Z,4.0009999999999994,136531968,130.21,0.0428519
1782479965695,2026-06-26T13:19:25.695Z,4.688,158953472,151.59,0.0187086
1782479966707,2026-06-26T13:19:26.707Z,4.688,158973952,151.61,0.0017953
1782479967716,2026-06-26T13:19:27.716Z,4.845,165048320,157.40,0.0016294
1782479968720,2026-06-26T13:19:28.720Z,5.329,177881088,169.64,0.0028664
1782479969725,2026-06-26T13:19:29.725Z,5.547,184238080,175.70,0.0016921
1782479970726,2026-06-26T13:19:30.726Z,6.407,147689472,140.85,0.0028452
1782479971722,2026-06-26T13:19:31.722Z,6.891,148746240,141.86,0.0029274
1782479972733,2026-06-26T13:19:32.733Z,7.126,148750336,141.86,0.001498
1782479973779,2026-06-26T13:19:33.779Z,7.220000000000001,148054016,141.20,0.0029692
1782479974762,2026-06-26T13:19:34.762Z,7.767,157003776,149.73,0.0160773
1782479975777,2026-06-26T13:19:35.777Z,8.141,169533440,161.68,0.0034392
1782479976799,2026-06-26T13:19:36.799Z,8.282,172814336,164.81,0.0013028
1782479977768,2026-06-26T13:19:37.768Z,9.392,156135424,148.90,0.0089462
1782479978785,2026-06-26T13:19:38.785Z,9.407,156135424,148.90,0.0015726
1782479979798,2026-06-26T13:19:39.798Z,9.86,157446144,150.15,0.0028015
1782479980802,2026-06-26T13:19:40.802Z,10.126,157401088,150.11,0.0027949
1782479981839,2026-06-26T13:19:41.839Z,10.673,149721088,142.79,0.0030075
