epoch_ms,iso,cpu_seconds_total,rss_bytes,rss_mb,eventloop_lag_seconds
1782487857290,2026-06-26T15:30:57.290Z,14.062000000000003,82624512,78.80,0.001616
1782487858212,2026-06-26T15:30:58.212Z,14.093000000000004,82857984,79.02,0.0015664
1782487859220,2026-06-26T15:30:59.220Z,14.234000000000004,86867968,82.84,0.0027326
1782487860261,2026-06-26T15:31:00.261Z,14.468000000000004,65282048,62.26,0.0026666
1782487861236,2026-06-26T15:31:01.236Z,14.906000000000004,64561152,61.57,0.0373248
1782487862231,2026-06-26T15:31:02.231Z,15.047000000000004,67747840,64.61,0.0014561
1782487863229,2026-06-26T15:31:03.229Z,15.500000000000004,70455296,67.19,0.0030986
1782487864241,2026-06-26T15:31:04.241Z,15.766000000000004,75616256,72.11,0.0022485
1782487865238,2026-06-26T15:31:05.238Z,15.875000000000004,75919360,72.40,0.001476
1782487866245,2026-06-26T15:31:06.245Z,16.062000000000005,78499840,74.86,0.0029592
1782487867252,2026-06-26T15:31:07.252Z,16.313000000000006,82780160,78.95,0.0031271
1782487868255,2026-06-26T15:31:08.255Z,16.515000000000008,82894848,79.05,0.0030804
1782487869254,2026-06-26T15:31:09.254Z,16.703000000000007,83464192,79.60,0.003008
1782487870259,2026-06-26T15:31:10.259Z,16.922000000000008,84873216,80.94,0.0015405
1782487871265,2026-06-26T15:31:11.265Z,17.06200000000001,86343680,82.34,0.0031385
1782487872268,2026-06-26T15:31:12.268Z,17.265000000000008,91635712,87.39,0.0031506
1782487873268,2026-06-26T15:31:13.268Z,17.422000000000008,98021376,93.48,0.0030288
1782487874274,2026-06-26T15:31:14.274Z,17.640000000000008,98144256,93.60,0.0024674
1782487875287,2026-06-26T15:31:15.287Z,17.781000000000006,99782656,95.16,0.0017018
1782487876298,2026-06-26T15:31:16.298Z,17.984000000000005,99708928,95.09,0.0017042
1782487877313,2026-06-26T15:31:17.313Z,18.125000000000004,102440960,97.70,0.0016727
1782487878323,2026-06-26T15:31:18.323Z,18.234000000000005,101761024,97.05,0.0030692
1782487879343,2026-06-26T15:31:19.343Z,18.344000000000005,103759872,98.95,0.0016531
1782487880339,2026-06-26T15:31:20.339Z,18.530000000000005,102043648,97.32,0.0013067
1782487881343,2026-06-26T15:31:21.343Z,18.765000000000004,102109184,97.38,0.0019542
1782487882347,2026-06-26T15:31:22.347Z,18.890000000000004,102637568,97.88,0.0029848
1782487883357,2026-06-26T15:31:23.357Z,19.046000000000003,102170624,97.44,0.0030457
1782487884369,2026-06-26T15:31:24.369Z,19.093000000000004,103002112,98.23,0.0025118
1782487885372,2026-06-26T15:31:25.372Z,19.281000000000002,103067648,98.29,0.0029817
1782487886380,2026-06-26T15:31:26.380Z,19.437,102645760,97.89,0.003725
1782487887387,2026-06-26T15:31:27.387Z,19.578,102723584,97.96,0.0030481
1782487888392,2026-06-26T15:31:28.392Z,19.797,103981056,99.16,0.0029918
1782487889399,2026-06-26T15:31:29.399Z,19.906000000000002,104177664,99.35,0.0017896
1782487890406,2026-06-26T15:31:30.406Z,20.047,104706048,99.86,0.0030894
1782487891411,2026-06-26T15:31:31.411Z,20.219,104976384,100.11,0.0016885
1782487892418,2026-06-26T15:31:32.418Z,20.344,104976384,100.11,0.0035111
1782487893422,2026-06-26T15:31:33.422Z,20.469,104980480,100.12,0.0026412
1782487894429,2026-06-26T15:31:34.429Z,20.656000000000002,104980480,100.12,0.0029857
1782487895431,2026-06-26T15:31:35.431Z,20.765000000000004,103632896,98.83,0.0030135
1782487896434,2026-06-26T15:31:36.434Z,20.875000000000004,103919616,99.11,0.0030049
1782487897436,2026-06-26T15:31:37.436Z,21.140000000000004,103821312,99.01,0.0029687
1782487898436,2026-06-26T15:31:38.436Z,21.297000000000004,104587264,99.74,0.0030785
1782487899441,2026-06-26T15:31:39.441Z,21.453000000000003,104689664,99.84,0.0018288
1782487900444,2026-06-26T15:31:40.444Z,21.641000000000002,105267200,100.39,0.0019708
1782487901446,2026-06-26T15:31:41.446Z,21.797,105570304,100.68,0.0030451
1782487902457,2026-06-26T15:31:42.457Z,21.999000000000002,105607168,100.71,0.0048161
1782487903459,2026-06-26T15:31:43.459Z,22.171000000000003,104869888,100.01,0.0017834
1782487904467,2026-06-26T15:31:44.467Z,22.359,105234432,100.36,0.002579
1782487905469,2026-06-26T15:31:45.469Z,22.562,104775680,99.92,0.0041766
1782487906483,2026-06-26T15:31:46.483Z,22.64,105222144,100.35,0.0033529
1782487907487,2026-06-26T15:31:47.487Z,22.797,105222144,100.35,0.0030534
1782487908491,2026-06-26T15:31:48.491Z,22.938,105226240,100.35,0.0030744
1782487909493,2026-06-26T15:31:49.493Z,23.093999999999998,105222144,100.35,0.0030517
1782487910499,2026-06-26T15:31:50.499Z,23.233999999999998,105570304,100.68,0.0017451
1782487911498,2026-06-26T15:31:51.498Z,23.343,105672704,100.78,0.0030947
1782487912500,2026-06-26T15:31:52.500Z,23.483999999999998,105672704,100.78,0.0016888
1782487913508,2026-06-26T15:31:53.508Z,23.671999999999997,104550400,99.71,0.0017041
1782487914512,2026-06-26T15:31:54.512Z,23.781,105480192,100.59,0.0017363
1782487915525,2026-06-26T15:31:55.525Z,23.906,105545728,100.66,0.0031323
1782487916540,2026-06-26T15:31:56.540Z,24,105574400,100.68,0.0030903
1782487917554,2026-06-26T15:31:57.554Z,24.156,104529920,99.69,0.0028904
1782487918553,2026-06-26T15:31:58.553Z,24.343999999999998,104546304,99.70,0.0031133
1782487919563,2026-06-26T15:31:59.563Z,24.374999999999996,105103360,100.23,0.0017185
1782487920570,2026-06-26T15:32:00.570Z,24.421999999999997,102232064,97.50,0.0016737
1782487921579,2026-06-26T15:32:01.579Z,24.421999999999997,101629952,96.92,0.0017515
