epoch_ms,iso,cpu_seconds_total,rss_bytes,rss_mb,eventloop_lag_seconds
1782490412386,2026-06-26T16:13:32.386Z,0.516,54382592,51.86,0
1782490413317,2026-06-26T16:13:33.317Z,0.548,54743040,52.21,0.0040228
1782490414330,2026-06-26T16:13:34.330Z,0.657,57131008,54.48,0.0042504
1782490415341,2026-06-26T16:13:35.341Z,0.657,56467456,53.85,0.0048727
1782490416345,2026-06-26T16:13:36.345Z,0.673,56864768,54.23,0.0044725
1782490417353,2026-06-26T16:13:37.353Z,0.673,57126912,54.48,0.0022843
1782490418361,2026-06-26T16:13:38.361Z,0.6890000000000001,56475648,53.86,0.002389
1782490419380,2026-06-26T16:13:39.380Z,0.6890000000000001,56500224,53.88,0.0021961
1782490420394,2026-06-26T16:13:40.394Z,0.7040000000000001,56000512,53.41,0.0052149
1782490421404,2026-06-26T16:13:41.404Z,0.7510000000000001,55304192,52.74,0.004575
1782490422413,2026-06-26T16:13:42.413Z,0.7510000000000001,55676928,53.10,0.0047397
1782490423428,2026-06-26T16:13:43.428Z,0.7670000000000001,56008704,53.41,0.004534
1782490424437,2026-06-26T16:13:44.437Z,0.7980000000000002,56307712,53.70,0.0056214
1782490425441,2026-06-26T16:13:45.441Z,0.8140000000000002,55885824,53.30,0.0049384
1782490426448,2026-06-26T16:13:46.448Z,0.8290000000000002,56700928,54.07,0.004703
1782490427459,2026-06-26T16:13:47.459Z,0.8600000000000002,56700928,54.07,0.0036573
1782490428470,2026-06-26T16:13:48.470Z,0.8910000000000002,56147968,53.55,0.0029061
1782490429482,2026-06-26T16:13:49.482Z,0.8910000000000002,56479744,53.86,0.0037207
1782490430492,2026-06-26T16:13:50.492Z,0.9070000000000003,56963072,54.32,0.0044384
1782490431496,2026-06-26T16:13:51.496Z,0.9850000000000002,56004608,53.41,0.0054539
