epoch_ms,iso,cpu_seconds_total,rss_bytes,rss_mb,eventloop_lag_seconds
1782491770836,2026-06-26T16:36:10.836Z,10.36,70758400,67.48,0.0016063
1782491771751,2026-06-26T16:36:11.751Z,10.36,70959104,67.67,0.001704
1782491772762,2026-06-26T16:36:12.762Z,10.439,64966656,61.96,0.0029501
1782491773756,2026-06-26T16:36:13.756Z,10.797,77807616,74.20,0.0042947
1782491774759,2026-06-26T16:36:14.759Z,10.813,77828096,74.22,0.0033521
1782491775771,2026-06-26T16:36:15.771Z,10.813,77832192,74.23,0.0017214
1782491776777,2026-06-26T16:36:16.777Z,10.860000000000001,77832192,74.23,0.0031528
1782491777781,2026-06-26T16:36:17.781Z,10.938,77897728,74.29,0.0034954
1782491778796,2026-06-26T16:36:18.796Z,10.938,77914112,74.30,0.0028438
1782491779800,2026-06-26T16:36:19.800Z,10.938,73891840,70.47,0.0035918
1782491780800,2026-06-26T16:36:20.800Z,11.016,82190336,78.38,0.0031753
1782491781801,2026-06-26T16:36:21.801Z,11.078,82202624,78.39,0.0032112
1782491782811,2026-06-26T16:36:22.811Z,11.187999999999999,87330816,83.29,0.0031476
1782491783863,2026-06-26T16:36:23.863Z,11.235,88227840,84.14,0.0031477
1782491784835,2026-06-26T16:36:24.835Z,11.312999999999999,89108480,84.98,0.0015082
1782491785843,2026-06-26T16:36:25.843Z,11.312999999999999,89120768,84.99,0.0030859
1782491786848,2026-06-26T16:36:26.848Z,11.312999999999999,87113728,83.08,0.0031408
1782491787859,2026-06-26T16:36:27.859Z,11.344,88223744,84.14,0.0033824
1782491788870,2026-06-26T16:36:28.870Z,11.501,89690112,85.54,0.0031158
1782491789874,2026-06-26T16:36:29.874Z,11.501,89702400,85.55,0.0032196
