epoch_ms,iso,cpu_seconds_total,rss_bytes,rss_mb,eventloop_lag_seconds
1782487406063,2026-06-26T15:23:26.063Z,0.484,54046720,51.54,0
1782487406967,2026-06-26T15:23:26.967Z,0.516,54546432,52.02,0.007064
1782487407975,2026-06-26T15:23:27.975Z,0.609,56315904,53.71,0.0038404
1782487408993,2026-06-26T15:23:28.993Z,0.625,56336384,53.73,0.0024078
1782487410007,2026-06-26T15:23:30.007Z,0.656,55611392,53.04,0.0039878
1782487411022,2026-06-26T15:23:31.022Z,0.656,55951360,53.36,0.0045401
1782487412035,2026-06-26T15:23:32.035Z,0.656,56274944,53.67,0.0042584
1782487413052,2026-06-26T15:23:33.052Z,0.656,55693312,53.11,0.0043138
1782487414062,2026-06-26T15:23:34.062Z,0.687,55943168,53.35,0.0045537
1782487415063,2026-06-26T15:23:35.063Z,0.687,56283136,53.68,0.0043605
1782487416070,2026-06-26T15:23:36.070Z,0.687,55648256,53.07,0.0043331
1782487417074,2026-06-26T15:23:37.074Z,0.7180000000000001,55922688,53.33,0.0026918
1782487418084,2026-06-26T15:23:38.084Z,0.7650000000000001,56442880,53.83,0.0024627
1782487419087,2026-06-26T15:23:39.087Z,0.7810000000000001,55754752,53.17,0.0040941
1782487420094,2026-06-26T15:23:40.094Z,0.8430000000000002,56168448,53.57,0.0058344
1782487421106,2026-06-26T15:23:41.106Z,0.8430000000000002,56512512,53.89,0.0037981
1782487422122,2026-06-26T15:23:42.122Z,0.8750000000000002,55996416,53.40,0.00219
1782487423132,2026-06-26T15:23:43.132Z,0.8910000000000002,56074240,53.48,0.0025452
1782487424137,2026-06-26T15:23:44.137Z,0.9060000000000002,56434688,53.82,0.0043867
1782487425144,2026-06-26T15:23:45.144Z,0.9530000000000003,56643584,54.02,0.0045644
