epoch_ms,iso,cpu_seconds_total,rss_bytes,rss_mb,eventloop_lag_seconds
1782493520647,2026-06-26T17:05:20.647Z,0.578,54796288,52.26,0.0031281
1782493521567,2026-06-26T17:05:21.567Z,0.578,55054336,52.50,0.0019995
1782493522582,2026-06-26T17:05:22.582Z,0.578,55431168,52.86,0.0037109
1782493523594,2026-06-26T17:05:23.594Z,0.578,55783424,53.20,0.0043328
1782493524606,2026-06-26T17:05:24.606Z,0.594,56049664,53.45,0.0041284
1782493525604,2026-06-26T17:05:25.604Z,0.625,55361536,52.80,0.0038125
1782493526618,2026-06-26T17:05:26.618Z,0.625,55373824,52.81,0.002029
1782493527623,2026-06-26T17:05:27.623Z,0.641,55402496,52.84,0.0038703
