epoch_ms,iso,cpu_seconds_total,rss_bytes,rss_mb,eventloop_lag_seconds
1782494372084,2026-06-26T17:19:32.084Z,11.890000000000006,70144000,66.89,0.0027737
1782494373014,2026-06-26T17:19:33.014Z,11.890000000000006,70168576,66.92,0.0021
1782494374018,2026-06-26T17:19:34.018Z,11.921000000000006,70168576,66.92,0.0026079
1782494375020,2026-06-26T17:19:35.020Z,12.109000000000007,74354688,70.91,0.0025984
1782494376025,2026-06-26T17:19:36.025Z,12.422000000000008,67444736,64.32,0.0016723
1782494377033,2026-06-26T17:19:37.033Z,12.500000000000007,67997696,64.85,0.0027352
1782494378036,2026-06-26T17:19:38.036Z,12.672000000000008,66646016,63.56,0.0025771
1782494379038,2026-06-26T17:19:39.038Z,12.843000000000007,66564096,63.48,0.0018453
1782494380039,2026-06-26T17:19:40.039Z,12.953000000000007,67948544,64.80,0.0031966
1782494381041,2026-06-26T17:19:41.041Z,13.172000000000006,69709824,66.48,0.0018282
1782494382056,2026-06-26T17:19:42.056Z,13.375000000000005,69668864,66.44,0.0025245
1782494383059,2026-06-26T17:19:43.059Z,13.515000000000006,71720960,68.40,0.0017589
1782494384070,2026-06-26T17:19:44.070Z,13.656000000000006,74211328,70.77,0.0032124
1782494385076,2026-06-26T17:19:45.076Z,13.891000000000005,74219520,70.78,0.0030929
1782494386082,2026-06-26T17:19:46.082Z,13.969000000000005,73687040,70.27,0.0030723
1782494387087,2026-06-26T17:19:47.087Z,14.016000000000005,73920512,70.50,0.0024689
1782494388094,2026-06-26T17:19:48.094Z,14.125000000000005,74166272,70.73,0.0030267
1782494389105,2026-06-26T17:19:49.105Z,14.234000000000005,76894208,73.33,0.003082
1782494390113,2026-06-26T17:19:50.113Z,14.297000000000006,78106624,74.49,0.0019362
1782494391121,2026-06-26T17:19:51.121Z,14.484000000000005,81362944,77.59,0.0017484
1782494392125,2026-06-26T17:19:52.125Z,14.766000000000005,82051072,78.25,0.0019606
1782494393126,2026-06-26T17:19:53.126Z,14.890000000000006,83009536,79.16,0.0017573
1782494394129,2026-06-26T17:19:54.129Z,15.031000000000006,81973248,78.18,0.0018522
1782494395134,2026-06-26T17:19:55.134Z,15.187000000000006,82624512,78.80,0.0019087
1782494396141,2026-06-26T17:19:56.141Z,15.359000000000007,83058688,79.21,0.0017551
1782494397148,2026-06-26T17:19:57.148Z,15.484000000000007,83206144,79.35,0.0027478
1782494398145,2026-06-26T17:19:58.145Z,15.672000000000008,83427328,79.56,0.0013836
1782494399144,2026-06-26T17:19:59.144Z,15.891000000000007,83705856,79.83,0.0018935
1782494400164,2026-06-26T17:20:00.164Z,16.078000000000007,88334336,84.24,0.0016756
1782494401165,2026-06-26T17:20:01.165Z,16.203000000000007,91725824,87.48,0.0021845
1782494402164,2026-06-26T17:20:02.164Z,16.422000000000008,92696576,88.40,0.0045297
1782494403169,2026-06-26T17:20:03.169Z,16.578000000000007,97071104,92.57,0.0017661
1782494404170,2026-06-26T17:20:04.170Z,16.766000000000005,97394688,92.88,0.0017338
1782494405189,2026-06-26T17:20:05.189Z,16.938000000000006,97296384,92.79,0.0017751
1782494406200,2026-06-26T17:20:06.200Z,17.031000000000006,98676736,94.11,0.0030644
1782494407210,2026-06-26T17:20:07.210Z,17.141000000000005,99586048,94.97,0.0030275
1782494408214,2026-06-26T17:20:08.214Z,17.250000000000007,99655680,95.04,0.0026702
1782494409214,2026-06-26T17:20:09.214Z,17.375000000000007,100839424,96.17,0.0016341
1782494410217,2026-06-26T17:20:10.217Z,17.546000000000006,100839424,96.17,0.0016954
1782494411232,2026-06-26T17:20:11.232Z,17.687000000000005,102322176,97.58,0.0026094
1782494412235,2026-06-26T17:20:12.235Z,17.906000000000006,100741120,96.07,0.001982
1782494413238,2026-06-26T17:20:13.238Z,17.968000000000007,100757504,96.09,0.001657
1782494414250,2026-06-26T17:20:14.250Z,18.093000000000007,100675584,96.01,0.0030672
1782494415253,2026-06-26T17:20:15.253Z,18.266000000000005,100794368,96.13,0.0014601
1782494416253,2026-06-26T17:20:16.253Z,18.407000000000004,100794368,96.13,0.0017548
1782494417252,2026-06-26T17:20:17.252Z,18.516000000000005,100954112,96.28,0.0016893
1782494418265,2026-06-26T17:20:18.265Z,18.594000000000005,101044224,96.36,0.0017099
1782494419251,2026-06-26T17:20:19.251Z,18.718000000000004,101044224,96.36,0.0029705
1782494420253,2026-06-26T17:20:20.253Z,18.938000000000002,101044224,96.36,0.0016845
1782494421254,2026-06-26T17:20:21.254Z,19.062,101961728,97.24,0.0025479
1782494422256,2026-06-26T17:20:22.256Z,19.359,101703680,96.99,0.0017629
1782494423268,2026-06-26T17:20:23.268Z,19.531000000000002,101703680,96.99,0.002249
1782494424269,2026-06-26T17:20:24.269Z,19.625000000000004,101703680,96.99,0.0026044
1782494425271,2026-06-26T17:20:25.271Z,19.703000000000003,101883904,97.16,0.001702
1782494426277,2026-06-26T17:20:26.277Z,19.860000000000003,101912576,97.19,0.002038
1782494427282,2026-06-26T17:20:27.282Z,19.984,102133760,97.40,0.0016081
1782494428289,2026-06-26T17:20:28.289Z,20.156000000000002,102375424,97.63,0.0017756
